date,without_mirrors,with_mirrors
2026-07-16,102,808
2026-07-17,16,239
2026-07-18,6,16
2026-07-19,1,8
2026-07-20,2,7
2026-07-21,90,253
2026-07-22,15,42
2026-07-23,5,19
2026-07-24,5,30
2026-07-25,1,2
2026-07-26,7,7
2026-07-27,2,13
2026-07-28,1,14
2026-07-29,0,2
2026-07-30,2,4
2026-07-31,2,2
2026-08-02,1,7
2026-08-03,0,12
2026-08-04,0,8
2026-08-05,0,20
2026-08-06,6,23
2026-08-07,0,3
2026-08-08,0,2
2026-08-09,2,2
2026-08-10,0,12
2026-08-11,0,1
2026-08-12,2,10
2026-08-13,0,6
2026-08-15,4,4
2026-08-17,0,6
2026-08-18,0,7
2026-08-20,0,7
2026-08-21,0,6
2026-08-22,0,5
2026-08-23,2,6
2026-08-24,4,12
2026-08-25,0,1
2026-08-27,0,4
2026-08-28,5,13
2026-08-29,0,4
2026-08-30,0,4
2026-08-31,0,1
2026-09-01,1,1
